,title,lprice,mall_name,link,now_date
0,오이 오이지용 오이지 취청오이 가시오이 백다다기 못난이 소박이용 2kg 10kg 50개,9500.0,가우농산,https://search.shopping.naver.com/gate.nhn?id=82742478358,05-13
1,백오이 백다다기오이 오이지용 오이 최상품 2kg 3kg 5kg 10kg,8900.0,영호네 농산물 장터,https://search.shopping.naver.com/gate.nhn?id=87641125068,05-13
2,오이 백다다기 취청오이 가시오이,7900.0,특맛,https://search.shopping.naver.com/gate.nhn?id=85928848372,05-13
3,다다기 오이 3kg 10kg 소박이용 백오이 오이지용 다대기 못난이,11500.0,부부오이,https://search.shopping.naver.com/gate.nhn?id=82440205215,05-13
4,오이 오이지오이 50개 다다기 오이지용 백오이 조선 피클용,23900.0,싱싱야채,https://search.shopping.naver.com/gate.nhn?id=83159437002,05-13
5,백 다다기 오이 오이지 10kg,19000.0,-클릭마켓-,https://search.shopping.naver.com/gate.nhn?id=82557749151,05-13
6,오이 가시오이 청오이 백오이 다다기오이 오이지 못난이 특품 3kg 5kg 10kg,5500.0,해돋이농산,https://search.shopping.naver.com/gate.nhn?id=83947644469,05-13
7,백다다기 오이지용 지오이 못난이오이 백오이 상품 1박스,19000.0,해돋이농산,https://search.shopping.naver.com/gate.nhn?id=84928599036,05-13
8,[직접생산 당일수확 산지직송]양주 바른농원 수분가득 스낵 미니오이 1.3KG / 2.5KG / 4KG,15900.0,양주 바른농원,https://search.shopping.naver.com/gate.nhn?id=83299937177,05-13
9,미니오이 스낵오이 미니스탑 글로리아 2kg 백다다기오이,13900.0,경기여주 조윤석,https://search.shopping.naver.com/gate.nhn?id=82471655686,05-13
10,아작아작 꼬들꼬들 쫄깃쫄깃 백다다기 비포 오이지 오이 50개 내외,25000.0,가락시장계절야채,https://search.shopping.naver.com/gate.nhn?id=83121689298,05-13
11,특품 백오이 국내산 10개 20개 30개 50개 한박스 오이 야채,9950.0,이브의픽,https://search.shopping.naver.com/gate.nhn?id=86872866872,05-13
12,오이 오이지오이 상주 흑침 백다다기오이 다다기 백오이 50개,35900.0,팔도명인,https://search.shopping.naver.com/gate.nhn?id=84111553389,05-13
13,국내산 못난이 가시오이 청오이 업소용 10kg내외 1박스,10000.0,해돋이농산,https://search.shopping.naver.com/gate.nhn?id=85923515805,05-13
14,아삭아삭 달달하고 맛있는 특 상주 오이15개 이상,9900.0,프레시베프,https://search.shopping.naver.com/gate.nhn?id=85368274761,05-13
15,오이 백다다기오이 백오이 취청오이 가시오이 못난이 2kg 5kg 10kg,7400.0,꿀한당,https://search.shopping.naver.com/gate.nhn?id=86280635696,05-13
